GENE NAME,PARAGRAPH 1 (Gene Association),PARAGRAPH 2 (Gene Condition),PARAGRAPH 3 (Gene Condition Overflow),A2M CURVE,A2M REQUESTS,HideA2MCharts,SQL,Concatenated
ABRAXAS1,"The ABRAXAS1 gene, formerly known as FAM175A, currently has no well-established disease association; however, there is preliminary evidence supporting a correlation with autosomal dominant susceptibility to breast cancer (PMID: 22357538).",,,NO,,,"('ABRAXAS1', 'The ABRAXAS1 gene, formerly known as FAM175A, currently has no well-established disease association; however, there is preliminary evidence supporting a correlation with autosomal dominant susceptibility to breast cancer (PMID: 22357538).', '', '', '1', NULL),","The ABRAXAS1 gene, formerly known as FAM175A, currently has no well-established disease association; however, there is preliminary evidence supporting a correlation with autosomal dominant susceptibility to breast cancer (PMID: 22357538)."
AIP,The AIP gene is associated with autosomal dominant predisposition to familial isolated pituitary adenoma (FIPA) (MedGen UID: 489979).,"FIPA presents in early adulthood with the development of pituitary adenomas in the absence of other syndromic findings. These pituitary adenomas may be of various types including somatotropinoma (growth hormone-secreting), prolactinoma (prolactin-secreting), somatomammotropinoma (growth hormone and prolactin co-secreting) and nonfunctioning pituitary adenomas (NFPA). Other types of adenomas have also been observed (PMID: 22720333, 26186299).",,NO,,,"('AIP', 'The AIP gene is associated with autosomal dominant predisposition to familial isolated pituitary adenoma (FIPA) (MedGen UID: 489979).', 'FIPA presents in early adulthood with the development of pituitary adenomas in the absence of other syndromic findings. These pituitary adenomas may be of various types including somatotropinoma (growth hormone-secreting), prolactinoma (prolactin-secreting), somatomammotropinoma (growth hormone and prolactin co-secreting) and nonfunctioning pituitary adenomas (NFPA). Other types of adenomas have also been observed (PMID: 22720333, 26186299).', '', '0', NULL),","The AIP gene is associated with autosomal dominant predisposition to familial isolated pituitary adenoma (FIPA) (MedGen UID: 489979).  FIPA presents in early adulthood with the development of pituitary adenomas in the absence of other syndromic findings. These pituitary adenomas may be of various types including somatotropinoma (growth hormone-secreting), prolactinoma (prolactin-secreting), somatomammotropinoma (growth hormone and prolactin co-secreting) and nonfunctioning pituitary adenomas (NFPA). Other types of adenomas have also been observed (PMID: 22720333, 26186299)."
ALK,The ALK gene is associated with autosomal dominant predisposition to neuroblastoma (MedGen UID: 414083).,"Neuroblastoma is a tumor affecting developing nerve cells, and therefore most often affects infants and young children (PMID: 18242317). Studies have identified pathogenic ALK variants in families exhibiting a predisposition to neuroblastoma (PMID: 18724359, 18923523, 22071890) with incomplete penetrance (PMID: 18923503).",,NO,,,"('ALK', 'The ALK gene is associated with autosomal dominant predisposition to neuroblastoma (MedGen UID: 414083).', 'Neuroblastoma is a tumor affecting developing nerve cells, and therefore most often affects infants and young children (PMID: 18242317). Studies have identified pathogenic ALK variants in families exhibiting a predisposition to neuroblastoma (PMID: 18724359, 18923523, 22071890) with incomplete penetrance (PMID: 18923503).', '', '0', NULL),","The ALK gene is associated with autosomal dominant predisposition to neuroblastoma (MedGen UID: 414083).  Neuroblastoma is a tumor affecting developing nerve cells, and therefore most often affects infants and young children (PMID: 18242317). Studies have identified pathogenic ALK variants in families exhibiting a predisposition to neuroblastoma (PMID: 18724359, 18923523, 22071890) with incomplete penetrance (PMID: 18923503)."
ANKRD26,"The ANKRD26 gene is associated with isolated, non-syndromic autosomal dominant thrombocytopenia (MedGen UID: 349976). Additionally, the ANKRD26 gene has preliminary evidence supporting a correlation with autosomal dominant familial leukemia (PMID: 24628296, 24030261).","Inherited thrombocytopenia is associated with mild-to-severe tendency to bruising and bleeding due to a decreased platelet count (PMID: 21211618). Laboratory studies reveal increased total white blood count and plasma thrombopoietin (TPO) (PMID: 24628296, 21211618). Bone marrow examination reveals dysmegakaryopoiesis, suggesting defective platelet production (PMID: 21211618, 26175287). Some studies have identified a pathogenic ANKRD26 variant in individuals with increased susceptibility to myeloid malignancies (PMID: 24030261, 24628296).",,NO,,,"('ANKRD26', 'The ANKRD26 gene is associated with isolated, non-syndromic autosomal dominant thrombocytopenia (MedGen UID: 349976). Additionally, the ANKRD26 gene has preliminary evidence supporting a correlation with autosomal dominant familial leukemia (PMID: 24628296, 24030261).', 'Inherited thrombocytopenia is associated with mild-to-severe tendency to bruising and bleeding due to a decreased platelet count (PMID: 21211618). Laboratory studies reveal increased total white blood count and plasma thrombopoietin (TPO) (PMID: 24628296, 21211618). Bone marrow examination reveals dysmegakaryopoiesis, suggesting defective platelet production (PMID: 21211618, 26175287). Some studies have identified a pathogenic ANKRD26 variant in individuals with increased susceptibility to myeloid malignancies (PMID: 24030261, 24628296).', '', '0', NULL),","The ANKRD26 gene is associated with isolated, non-syndromic autosomal dominant thrombocytopenia (MedGen UID: 349976). Additionally, the ANKRD26 gene has preliminary evidence supporting a correlation with autosomal dominant familial leukemia (PMID: 24628296, 24030261).  Inherited thrombocytopenia is associated with mild-to-severe tendency to bruising and bleeding due to a decreased platelet count (PMID: 21211618). Laboratory studies reveal increased total white blood count and plasma thrombopoietin (TPO) (PMID: 24628296, 21211618). Bone marrow examination reveals dysmegakaryopoiesis, suggesting defective platelet production (PMID: 21211618, 26175287). Some studies have identified a pathogenic ANKRD26 variant in individuals with increased susceptibility to myeloid malignancies (PMID: 24030261, 24628296)."
APC - Classic FAP,"The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).","FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).","Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).",NO,,,"('APC - Classic FAP', 'The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                ', 'FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5'' and 3'' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).', 'Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).', '0', NULL),","The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                  FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).  Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414)."
APC - Attenuated FAP,"The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).","FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).","Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).",NO,,,"('APC - Attenuated FAP', 'The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                ', 'FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5'' and 3'' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).', 'Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).', '0', NULL),","The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                  FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).  Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414)."
APC - I1307K Variant,"The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).","FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).","Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).",NO,,,"('APC - I1307K Variant', 'The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                ', 'FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5'' and 3'' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).', 'Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).', '0', NULL),","The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                  FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).  Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414)."
APC - GAPPS,"The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).","FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).","Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).",NO,,,"('APC - GAPPS', 'The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                ', 'FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5'' and 3'' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).', 'Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414).', '0', NULL),","The APC gene is associated with autosomal dominant familial adenomatous polyposis (FAP) (MedGen UID: 398651), attenuated FAP (AFAP) (MedGen UID: 436213) and gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) (MedGen UID: 1657285).                                                                                                  FAP is characterized by the development of hundreds to thousands of adenomatous colon polyps, with 70-100% penetrance. Extracolonic cancers include duodenal, stomach, hepatic, brain, pancreatic, and thyroid. AFAP is associated with fewer colon polyps, reduced penetrance and later cancer onset (PMID: 31070935). Genotype-phenotype studies have suggested that pathogenic variants in the 5' and 3' areas of the APC gene may result in AFAP; however clinical symptoms may not be accurately predicted by genotype alone (PMID: 16461775, 8522331, 8655134).  Pathogenic variants in promoter 1B of APC are associated with GAPPS, a condition characterized by fundic gland polyposis and gastric cancer. Unlike FAP or AFAP, the risk of colorectal polyposis and cancer appears to be lower (PMID: 21813476, 27087319, 27343414)."
ARMC5,The ARMC5 gene is associated with autosomal dominant primary bilateral macronodular adrenal hyperplasia (PBMAH) (MedGen UID: 863240).,"Primary bilateral macronodular adrenal hyperplasia (PBMAH) is a condition that primarily affects the adrenal glands. The adrenal glands are glands on top of the kidneys that produce hormones regulating many essential functions in the body. PBMAH is a condition that can cause lumps (nodules) to form in the adrenal glands leading them to enlarge and produce too much of a certain hormone (cortisol). Increased cortisol can result in weight gain, high blood pressure (hypertension), diabetes, fatigue and bone loss. When symptoms of PBMAH are present, they usually begin in middle age. However, some with PBMAH may not have any obvious symptoms (incomplete penetrance). Specific laboratory tests and imaging are typically used to diagnose PBMAH. A dexamethasone suppression test measures the response of the adrenal glands to the hormone ACTH (adrenocorticotropic hormone); affected individuals often have elevated cortisol levels in blood and urine as well as low levels of ACTH in blood following this test. Imaging often shows large, nodular adrenal glands. Treatment for severe cases may include the surgical removal of one or both adrenal glands. Otherwise treatment is supportive and focused on managing the individual's symptoms.",,NO,,,"('ARMC5', 'The ARMC5 gene is associated with autosomal dominant primary bilateral macronodular adrenal hyperplasia (PBMAH) (MedGen UID: 863240).', 'Primary bilateral macronodular adrenal hyperplasia (PBMAH) is a condition that primarily affects the adrenal glands. The adrenal glands are glands on top of the kidneys that produce hormones regulating many essential functions in the body. PBMAH is a condition that can cause lumps (nodules) to form in the adrenal glands leading them to enlarge and produce too much of a certain hormone (cortisol). Increased cortisol can result in weight gain, high blood pressure (hypertension), diabetes, fatigue and bone loss. When symptoms of PBMAH are present, they usually begin in middle age. However, some with PBMAH may not have any obvious symptoms (incomplete penetrance). Specific laboratory tests and imaging are typically used to diagnose PBMAH. A dexamethasone suppression test measures the response of the adrenal glands to the hormone ACTH (adrenocorticotropic hormone); affected individuals often have elevated cortisol levels in blood and urine as well as low levels of ACTH in blood following this test. Imaging often shows large, nodular adrenal glands. Treatment for severe cases may include the surgical removal of one or both adrenal glands. Otherwise treatment is supportive and focused on managing the individual''s symptoms.', '', '0', NULL),","The ARMC5 gene is associated with autosomal dominant primary bilateral macronodular adrenal hyperplasia (PBMAH) (MedGen UID: 863240).  Primary bilateral macronodular adrenal hyperplasia (PBMAH) is a condition that primarily affects the adrenal glands. The adrenal glands are glands on top of the kidneys that produce hormones regulating many essential functions in the body. PBMAH is a condition that can cause lumps (nodules) to form in the adrenal glands leading them to enlarge and produce too much of a certain hormone (cortisol). Increased cortisol can result in weight gain, high blood pressure (hypertension), diabetes, fatigue and bone loss. When symptoms of PBMAH are present, they usually begin in middle age. However, some with PBMAH may not have any obvious symptoms (incomplete penetrance). Specific laboratory tests and imaging are typically used to diagnose PBMAH. A dexamethasone suppression test measures the response of the adrenal glands to the hormone ACTH (adrenocorticotropic hormone); affected individuals often have elevated cortisol levels in blood and urine as well as low levels of ACTH in blood following this test. Imaging often shows large, nodular adrenal glands. Treatment for severe cases may include the surgical removal of one or both adrenal glands. Otherwise treatment is supportive and focused on managing the individual's symptoms."
ASXL1,"The ASXL1 gene is associated with autosomal dominant Bohring-Opitz syndrome (BOS), which is also known as C-like syndrome (MedGen UID: 208678).","BOS is characterized by multiple congenital malformations, intrauterine growth restriction, feeding difficulties, severe intellectual disability, and distinctive facial features (PMID: 16691589). Associated congenital malformations include palate abnormalities, microcephaly, trigonocephaly, and structural brain anomalies. Reported craniofacial features include exophthalmos, upslanting palpebral fissures, depressed and wide nasal bridge, hypertelorism, low-set posteriorly rotated ears, and facial nevus flammeus. A characteristic limb posture of flexion of the elbows, wrists, and metacarpophalangeal joints has been described. Other features including hypertrichosis, myopia, seizures, central obesity, Wilms tumor, and cardiac, ophthalmologic and gastrointestinal anomalies have been described (PMID: 21706002, 25921057, 26364555). For a review of clinical management for BOS, please refer to Russell et al., 2015 (PMID: 25921057).",,NO,,,"('ASXL1', 'The ASXL1 gene is associated with autosomal dominant Bohring-Opitz syndrome (BOS), which is also known as C-like syndrome (MedGen UID: 208678).', 'BOS is characterized by multiple congenital malformations, intrauterine growth restriction, feeding difficulties, severe intellectual disability, and distinctive facial features (PMID: 16691589). Associated congenital malformations include palate abnormalities, microcephaly, trigonocephaly, and structural brain anomalies. Reported craniofacial features include exophthalmos, upslanting palpebral fissures, depressed and wide nasal bridge, hypertelorism, low-set posteriorly rotated ears, and facial nevus flammeus. A characteristic limb posture of flexion of the elbows, wrists, and metacarpophalangeal joints has been described. Other features including hypertrichosis, myopia, seizures, central obesity, Wilms tumor, and cardiac, ophthalmologic and gastrointestinal anomalies have been described (PMID: 21706002, 25921057, 26364555). For a review of clinical management for BOS, please refer to Russell et al., 2015 (PMID: 25921057).', '', '0', NULL),","The ASXL1 gene is associated with autosomal dominant Bohring-Opitz syndrome (BOS), which is also known as C-like syndrome (MedGen UID: 208678).  BOS is characterized by multiple congenital malformations, intrauterine growth restriction, feeding difficulties, severe intellectual disability, and distinctive facial features (PMID: 16691589). Associated congenital malformations include palate abnormalities, microcephaly, trigonocephaly, and structural brain anomalies. Reported craniofacial features include exophthalmos, upslanting palpebral fissures, depressed and wide nasal bridge, hypertelorism, low-set posteriorly rotated ears, and facial nevus flammeus. A characteristic limb posture of flexion of the elbows, wrists, and metacarpophalangeal joints has been described. Other features including hypertrichosis, myopia, seizures, central obesity, Wilms tumor, and cardiac, ophthalmologic and gastrointestinal anomalies have been described (PMID: 21706002, 25921057, 26364555). For a review of clinical management for BOS, please refer to Russell et al., 2015 (PMID: 25921057)."
