Test,ID,GeneMasterName,Variant,Gender,DiseaseName,PredominantCancerSubtype,SyndromeMasterName,DiseaseType,Organ,FinalVerdict,NotesReAssn,EvidenceofAssociation,PredominantCancerSubtypeSource,ClinGenValidility,ClinGen Numeric,NCCN combined,NCCNRecommend,NCCNidentifier,GeneticHomeReference,OMIM,GeneCard,GeneReview,Completed,GraphInAsk2Me,HomuncCaNeo,HomuncBenign,ASk2me Asssociation,NEJM MHL and DICER1 paper,MedNeon_Extended,Akras_paper,Akras_paper_penetrance,Yadav_paper,AmbryGenetics,SPANISH_DiseaseName,CHINESE_DiseaseName,SPANISH_Gender,CHINESE_Gender,IfMetaanalysisInMasterTable,IfASK2MEBasedOnMetaanalysis,SourceRisk,Order,Concatenated,OldDiseaseName,OldPredominantCancerSubtype,OldDiseaseType,BreastGene,ColonGene,Z_Old_DiseaseName,Z_Inheritance,Z_AllellicInheritance
0,,CFTR,,Either,Lung (Benign),Bronchiectasis,,Benign,Lung,1,,,,,,,,,1,1,1,1,1,,,,,,,,,,1,,,Masculino,男性,0,0,,,,Lung cyst,,Cancer,,,Lung (Benign),,Mono
0,,CFTR,,Either,Cystic fibrosis,Metabolic,,Benign,Metabolic,1,Biallelic,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Lung cyst,,Cancer,,,Cystic fibrosis,,Mono
0,979,CFTR,,Male,Genitourinary (Benign),Congenital bilateral absence of the vas deferens,,Benign,Genitals,1,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Genitourinary anomalies,,Benign Disease,,,Genitourinary Anomalies,,Mono
0,1499,EGLN1,,Either,Blood (Benign),Familial erythrocytosis,,Benign,Blood,,,,,,,,,,1,,,,1,,,,,,,,,,,,白血病,Masculino,男性,0,0,,,,Leukemia,MDS,Cancer,,,Leukemia,,Mono
0,455,EGLN1,,Either,Pheochromocytoma/Paraganglioma,Paraganglioma,,Neoplasm,Nerve,1,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Paraganglioma,,Neoplasm,,,Neuroendocrine,,Mono
At least 1 finalverdict,,CDC73,,Either,Uterus Neoplasm,Uterine Tumors,,Cancer,Uterus,1,ClinGen is definitive or moderate while NCCN is mute.,,,Mentioned,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least 1 finalverdict,1612,CDC73,,Either,Kidney (Benign),Renal cysts,,Benign,Kidney,1,ClinGen is definitive or moderate while NCCN is mute.,,,Mentioned,1,,,,1,1,1,,1,,,,,,1,,,,1,,,Masculino,男性,0,0,,,,Jaw tumor,,Cancer,,,Kidney Neoplasm,,Mono
At least 1 finalverdict,956,AXIN2,,Female,Breast Cancer,,,Cancer,Breast,0,polymorphism papers and case reports,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Colorectal cancer,,Cancer,,,,,
At least 1 finalverdict,1612,CDC73,,Either,Kidney Neoplasm,Renal hamartomas,,Neoplasm,Kidney,1,ClinGen is definitive or moderate while NCCN is mute.,,,Mentioned,1,,,,1,1,1,,1,,,,,,1,,,,1,,,Masculino,男性,0,0,,,,Jaw tumor,,Cancer,,,Kidney Neoplasm,,Mono
At least 1 finalverdict,,CDC73,,Either,Uterus Neoplasm,Uterine Tumors,,Cancer,Uterus,1,ClinGen is definitive or moderate while NCCN is mute.,,,Mentioned,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least 1 finalverdict,1426,CDC73,,Either,Wilms Tumor,Nephroblastoma,,Cancer,Kidney,1,,,,Mentioned,1,,,,,1,,,1,,,,,,,,,,,,,Masculino,男性,0,0,,,,Wilm's Tumor,,Cancer,1,1,Wilms Tumor,,Mono
,,HRAS,,Either,Dysmorphic Feature,"Coarse facial features, curly or sparse, fine hair, loose, soft skin",,Benign,Face,,MedNeon (Kelly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At least 1 finalverdict,826,APC,,Either,Thyroid Cancer,,,Cancer,Thyroid,1,Clingen is definitive or moderate AND NCCN management and/or ID present,,,Mentioned,1,1,1,1,,1,,,1,,,,,,,1,High,,1,colorrectal,结直肠,Masculino,男性,0,0,,427,,Colorectal cancer,,Cancer,,1,Colorectal Cancer,,Mono
At least 1 finalverdict,,ALK,,Either,Adrenal Cortical Carcinoma,,,Cancer,Adrenal,9,MedNeon(Kelly) says increased risk.,,,,,,,,,,,,1,,,,,,,,,,,masa suprarrenal,肾上腺肿块,Masculino,男性,0,0,,90,,Adrenal mass,,Benign Disease,,1,Adrenal Cortical Carcinoma,,Mono
At least 1 finalverdict,,ALK,,Either,Peripheral Nervous System Benign,Ganglioneuroma,,Benign,PNS,1,MedNeon(Kelly),,,,,,,,,,,,1,,,,,,1,1,Mod,,1,neuroblastoma,成神经细胞瘤,Masculino,男性,0,0,,,,Neuroblastoma,,Cancer,,,Neuroblastoma,,Mono
At least 1 finalverdict,38,ALK,,Either,Peripheral Nervous System Cancer,Ganglioneuroblastoma,,Cancer,PNS,1,,,,,,,,,,,,,1,,,,,,1,1,Mod,,1,neuroblastoma,成神经细胞瘤,Masculino,男性,0,0,,,,Neuroblastoma,,Cancer,,,Neuroblastoma,,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",739,FLCN,,Either,Skin (Benign),"acrochordons, angiofibromas",,Benign,Skin,1,MedNeon(Kelly),,,,,,,,,,,,Invitae states Birt Hogg Dube and these are from that syndrome,,,,,,,,,,,,,Masculino,男性,0,0,,,,Fibrofolliculomas,,Cancer,,,Skin (Benign),,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Parathyroid Neoplasm,Parathyroid Adenoma,,Neoplasm,Parathyroid,9,MedNeon(Kelly),,,,,,,,,,,,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Parathyroid adenoma,,Cancer,,,Parathyroid Neoplasm,,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Brain Tumor,Pituitary Adenoma,,Neoplasm,Pituitary,9,MedNeon(Kelly),,,,,,,,,,,,,,,,,,,,,,,,,Masculino,男性,0,0,,,,Pitutary adenoma,,Cancer,,,Pituitary Neoplasm,,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Peripheral Nervous System Neoplasm,neural tissue tumor,,Neoplasm,PNS,9,MedNeon(Kelly),,,,,,,,,,,,,,,,,,1,,,,,,,Masculino,男性,0,0,,,,Schwannomatosis,,Cancer,,,Peripheral Nervous System Neoplasm,,Mono
"The FLCN gene is associated with autosomal dominant Birt-Hogg-Dubé (BHD) syndrome (MedGen UID: 91070). There is also evidence suggesting BHD is associated with an increased risk of colon polyps and colorectal cancer (PMID: 20522427, 20392993).",,FLCN,,Either,Peripheral Nervous System Neoplasm,connective tissue nevus,,Neoplasm,PNS,9,MedNeon(Kelly),,,,,,,,,,,,,,,,,,1,,,,,,,Masculino,男性,0,0,,,,Schwannomatosis,,Cancer,,,Peripheral Nervous System Neoplasm,,Mono
