AltNameGene,GeneMasterName,ForNLP,ForGeneCancerAssociation,DisplayAltNameGene,PrimaryKey,Test,Z_Ambry,Z_Invitae,Z_Fulgent,Z_ASK2ME,Z_Disease Type
ABCC9,ABCC9,,,,167,gene good,,,,,Cardiomyophathy
ACTC,ACTC,,,,168,,,,,,Cardiomyophathy
ACTN2,ACTN2,,,,169,gene good,,,,,Cardiomyophathy
APC,APC,1,1,1,170,gene good,1,1,1,1,Cancer
hAPC,APC,1,1,,171,gene good,,,,,Cancer
ATM,ATM,1,1,1,172,gene good,1,1,1,1,Cancer
hATM,ATM,1,1,,173,gene good,,,,,Cancer
A-T mutation,ATM,1,1,,174,gene good,,,,,Cancer
BARD1,BARD1,1,1,1,175,,1,1,1,1,Cancer
hBARD1,BARD1,1,1,,176,,,,,,Cancer
BMPR1A,BMPR1A,1,1,1,177,gene good,1,1,1,1,Cancer
hBMPR1A,BMPR1A,1,1,,178,gene good,,,,,Cancer
BRCA,BRCA1,1,1,1,179,,,,,,Cancer
hBRCA,BRCA1,1,1,,180,,,,,,Cancer
BRCA1,BRCA1,1,1,1,181,gene good,1,1,1,1,Cancer
17q-linked,BRCA1,1,1,1,182,gene good,,,,,Cancer
hBRCA1,BRCA1,1,1,,183,gene good,,,,,Cancer
BRCA2,BRCA2,1,1,1,185,gene good,1,1,1,1,Cancer
hBRCA2,BRCA2,1,1,,186,gene good,,,,,Cancer
FANCJ,BRIP1,1,,1,187,gene good,,,,,Cancer
BRIP1,BRIP1,1,1,1,188,gene good,1,1,1,1,Cancer
hBRIP1,BRIP1,1,1,,189,gene good,,,,,Cancer
epithelial cadherin,CDH1,1,1,1,190,gene good,,,,,Cancer
CDH1,CDH1,1,1,1,191,gene good,1,1,1,1,Cancer
e-cadherin,CDH1,1,1,,192,gene good,,,,,Cancer
epithelial-cadherin,CDH1,1,1,,193,gene good,,,,,Cancer
cadherin,CDH1,1,1,,194,gene good,,,,,Cancer
hCDH1,CDH1,1,1,,195,gene good,,,,,Cancer
CDK4,CDK4,1,1,1,196,gene good,1,1,1,1,Cancer
hCDK4,CDK4,1,1,,197,gene good,,,,,Cancer
CDKN1B,CDKN1B,1,1,1,198,gene good,1,1,1,,Cancer
P14,CDKN2A,,,1,199,gene good,,,,,Cancer
ARF,CDKN2A,,,1,200,gene good,,,,,Cancer
CMM2,CDKN2A,,,1,201,gene good,,,,,Cancer
INK4A,CDKN2A,,,1,202,gene good,,,,,Cancer
MLM,CDKN2A,,,1,203,gene good,,,,,Cancer
MTS1,CDKN2A,,,1,204,gene good,,,,,Cancer
CDK4I,CDKN2A,,,1,205,gene good,,,,,Cancer
CDKN2A,CDKN2A,1,1,1,206,gene good,1,1,1,1,Cancer
P16,CDKN2A,,,1,207,gene good,,,,,Cancer
TP16,CDKN2A,,,1,208,gene good,,,,,Cancer
P19,CDKN2A,,,1,209,gene good,,,,,Cancer
P14ARF,CDKN2A,,,,210,gene good,,,,,Cancer
CDKN2,CDKN2A,,,,211,gene good,,,,,Cancer
INK4,CDKN2A,,,,212,gene good,,,,,Cancer
P16INK4A,CDKN2A,,,,213,gene good,,,,,Cancer
P16INK4,CDKN2A,,,,214,gene good,,,,,Cancer
MTS-1,CDKN2A,,,,215,gene good,,,,,Cancer
P16-INK4A,CDKN2A,,,,216,gene good,,,,,Cancer
P19ARF,CDKN2A,,,,217,gene good,,,,,Cancer
