GeneMasterName,Disease Type
ACD,
AIP,Cancer
ALK,Cancer
AR,
ATM-Biallelic,
ATR,Cancer
AXIN2,Cancer
BAP1,Cancer
BCS1L,
BLM,Cancer
BLM-Biallelic,
BMPR1A,Cancer
BRCA1-Biallelic,
BRCA2-Biallelic,
BRIP1-Biallelic,
BUB1B,
BUB1B-Biallelic,
CASR,Cancer
CASR-Biallelic,
CCND1,
CDC73,Cancer
CDKN1B-Biallelic,
CDKN1C,Cancer
CEBPA,Cancer
CEP57,
CEP57-Biallelic,
CFTR,Cancer
CFTR-Biallelic,
COX10,
COX15,
CPA1,
CTC1,
CTC1-Biallelic,
CTFR,
CTNNA1,Cancer
CTNND1,
CTRC,
CYLD,
DDB2,
DDB2-Biallelic,
DICER1,Cancer
DIS3L2,Cancer
DIS3L2-Biallelic,
DKC1,
EGFR,Cancer
ENG,
EPCAM-Biallelic,
ERCC2,
ERCC2-Biallelic,
ERCC3,
ERCC3-Biallelic,
ERCC4,
ERCC4-Biallelic,
ERCC5,
ERCC5-Biallelic,
ETV6,
EXT1,
EXT2,
EZH2,
FAH,
FANCA,Cancer
FANCA-Biallelic,
FANCB,
FANCC,Cancer
FANCC-Biallelic,
FANCD2,
FANCD2-Biallelic,
FANCE,
FANCE-Biallelic,
FANCF,
FANCF-Biallelic,
FANCG,
FANCG-Biallelic,
FANCI,
FANCL,
FANCL-Biallelic,
FANCM,Cancer
FANCM-Biallelic,
FH,Cancer
FH-Biallelic,
FLCN,Cancer
FOXP3,
FOXRED1,
GALNT12,Cancer
GATA1,
GATA2,Cancer
GJB6,
GPC3,Cancer
GPC3-Biallelic,
HRAS,Cancer
IL1B,
IL1RN,
JUP,
KIT,Cancer
KRAS,Cancer
LDLR,
LDLRAP1,
LDLRAP1-Biallelic,
LMNA-Biallelic,
MAX,Cancer
MC1R,
MET,Cancer
MITF,Cancer
MLH1-Biallelic,Cancer
MLH3,Cancer
MRE11,Cancer
MRE11A,Cancer
MRE11-Biallelic,
MSH2-Biallelic,Cancer
MSH3,Cancer
MSH3-Biallelic,
MSH6-Biallelic,
NBN-Biallelic,
NDUFA10,
NDUFA12,
NDUFA2,
NDUFA9,
NDUFAF2,
NDUFAF6,
NDUFS3,
NDUFS4,
NDUFS7,
NDUFS8,
NHP2,
NHP2-Biallelic,
NOP10,
NOP10-Biallelic,
NTHL1,Cancer
NTHL1-Biallelic,
NTRK1,
PALB2-Biallelic,
PARK2,
PCSK9,
PDGFRA,Cancer
PHOX2B,Cancer
PIK3CA,
PMS2-Biallelic,
PMS3,
POLE-Biallelic,
POT1,Cancer
PRKAR1A,Cancer
PRSS1,Cancer
PTCH1,Cancer
PTCH2,
RAD50-Biallelic,
RAD51B,
RAD51-Biallelic,
RAD51C-Biallelic,
RECQL,Cancer
RECQL4,Cancer
RECQL4-Biallelic,
RHBDF2,
RNF43,Cancer
RPL11,
RPL26,
RPL35A,
RPL5,
RPS10,
RPS19,
RPS20,Cancer
RPS24,
RPS26,
RPS7,
RUNX1,Cancer
SBDS,
SCN5A,
SDHA-Biallelic,
SDHAF2,Cancer
SDHB-Biallelic,
SIL1,
SKIV2L,
SLX4,
SLX4-Biallelic,
SMARCA4,Cancer
SMARCB1,Cancer
SMARCE1,Cancer
SPINK1,Cancer
SPINK1-Biallelic,
SPRED1,
SUFU,Cancer
SURF1,
TERC,Cancer
TERT,Cancer
TMEM127,Cancer
TSC1,Cancer
TSC2,Cancer
TTC37,
VHL-Biallelic,
WRN,Cancer
WRN-Biallelic,
WT1,Cancer
XK,
XPA,
XPA-Biallelic,
XPC1,
XRCC2,Cancer
XRCC2-Biallelic,
APC,Cancer
ATM,Cancer
BARD1,Cancer
BMPR1A,Cancer
BRCA,Cancer
BRCA1,Cancer
BRCA2,Cancer
BRIP1,Cancer
CDH1,Cancer
CDK4,Cancer
CDKN1B,Cancer
CDKN2A,Cancer
CDKN2A/p14,Cancer
CDKN2A/p16,Cancer
CHEK1,Cancer
CHEK2,Cancer
CHEK2/1100delC,Cancer
EPCAM,Cancer
GREM1,Cancer
HOXB13,Cancer
LKB1,Cancer
Lynch Gene,Cancer
MEN1,Cancer
MLH1,Cancer
MLH3,Cancer
MSH2,Cancer
MSH6,Cancer
MSI,Cancer
MUTYH,Cancer
MUTYH-Biallelic,Cancer
"MUTYH-Biallelic/Compound Heterozygous
MUTYH-Biallelic/Compound Heterozygous",Cancer
