GeneMasterName,GeneFullName,ClinVarGene ID,Location,Chromosome,ChromosomeArm,NumExons,NumBases,NumAminoAcids,GeneType,Mechanism,Pathway,PathwayGraphic,VariantLevelRisk,GraphicGene,GraphicProtein,GeneInteraction,urlGenecards,urlGenereviews,urlOMIM,RefSeqID1,RefSeqID2,Childhood,RecessiveConditionAlso,Preimplant_PrenatalDx,In_Ask2meWebsite,MedNeon,In_Invitae84,Ambry,Myriad_MyRisk,Geisinger,ACMG,ACMG_3_Dec2021,Helix,Completed,Inheritance,Check,DiseaseTypeMaster,SPANISH_GeneType,CHINESE_GeneType,SPANISH_Mechanism,CHINESE_Mechanism,PreImplantationTesting,NCCN_GuidelinesDec2021,Notes
GREM1,"Gremlin 1, DAN Family BMP Antagonis",26585,15q13.3,15,,,27103,184,protein coding,"This gene encodes a member of the BMP (bone morphogenic protein) antagonist family. Like BMPs, BMP antagonists contain cystine knots and typically form homo- and heterodimers. The CAN (cerberus and dan) subfamily of BMP antagonists, to which this gene belongs, is characterized by a C-terminal cystine knot with an eight-membered ring. The antagonistic effect of the secreted glycosylated protein encoded by this gene is likely due to its direct binding to BMP proteins. As an antagonist of BMP, this gene may play a role in regulating organogenesis, body patterning, and tissue differentiation. In mouse, this protein has been shown to relay the sonic hedgehog (SHH) signal from the polarizing region to the apical ectodermal ridge during limb bud outgrowth. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2010]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM1&keywords=grem1#summaries,,https://omim.org/entry/603054?search=grem1&highlight=grem1,,,,,,1,,1,1,1,,,,,1,Mono,UpdateWebsite,Cancer,,,,,,1,
MLH1,MutL Homolog 1,4292,3p22.2,3,P,19,57947,756,protein coding,"The protein encoded by this gene can heterodimerize with mismatch repair endonuclease PMS2 to form MutL alpha, part of the DNA mismatch repair system. When MutL alpha is bound by MutS beta and some accessory proteins, the PMS2 subunit of MutL alpha introduces a single-strand break near DNA mismatches, providing an entry point for exonuclease degradation. The encoded protein is also involved in DNA damage signaling and can heterodimerize with DNA mismatch repair protein MLH3 to form MutL gamma, which is involved in meiosis. This gene was identified as a locus frequently mutated in hereditary nonpolyposis colon cancer (HNPCC). [provided by RefSeq, Aug 2017]",,,,,,,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1&keywords=mlh1#summaries,,https://omim.org/entry/120436?search=mlh1&highlight=mlh1,,,,1,,1,,1,1,1,1,1,1,1,1,Mono,UpdateWebsite,Cancer,,,,,1,1,
MLH3,MutL Homolog 3,27030,14q24.3,14,Q,14,,,DNA mismatch repair (MMR),,,,,,,,,,,,,,,,,,,1,,,,,,,Mono,,Cancer,de reparación de mal apareamiento del ADN (MMR),DNA错配修复,El producto proteico de MLH1 exhibe interacción del C-terminal con PMS2 para formar un heterodímero que ayuda a reparar los errores de replicación del ADN a través de la degradación por exonucleasa. MLH1 también puede formar un heterodímero con MLH3. La p,MLH1的蛋白质产物与PMS2的C末端相互作用形成异二聚体，其通过外切核酸酶降解帮助修复DNA复制错误。MLH1也可以与MLH3形成异二聚体。MLH1功能的丧失会增加肿瘤形成的风险。,,,
TERC,Telomerase RNA Component,7012,3q26.2,3,Q,,598,,RNA Gene,TERC encodes a component of telomerase which is involved with maintaining telomeric integrity,,,,,,,,,,,,1,,,,1,1,,,,,,,,Mono,,Cancer,,,,,,,
MAX,MYC-Associated Factor X,4149,14q23.3,14,Q,10,"96,595",160,protein coding,"MAX encodes a tumor suppressor part of the MYC-MAX-MXD2 complex, which regulates cell proliferation, differentiation, and apoptosis.",,,,,,,,,,,,1,,,,1,1,,,,,1,,,Mono,,Cancer,,,,,,1,
ACTA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Cardiomyopathy,,,,,,,
SMAD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Cardiomyopathy,,,,,,,
FBN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Cardiomyopathy,,,,,,,
APOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Familial Hypercholesterolemia,,,,,,,
KCNH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Arrhythmia,,,,,,,
KCNE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Arrhythmia,,,,,,,
KCNQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Arrhythmia,,,,,,,
HFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Hereditary Hemochromatosis,,,,,,,
COL3A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,Vascular Ehlers-Danlos syndrome,,,,,,,
RYR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,Malignant hyperthermia,,,,,,,
